trial_index,result_name,seed,acc,auc,f1,lr,weight_decay,dropout,batch_size,hidden_dim,n_layers_conv,state_aux_temp,state_aux_detach_route,lambda_node_state_aux,lambda_edge_same_aux,lambda_same_diff_sep,same_path_blend,diff_path_blend,same_diff_gate_blend,same_dulreg_blend,overrides
0,sweep_drweibo_resgcn_stateaux_compact_seed0_t0000_ledge0p05_lnode0p05_lsep0p0,0,0.8471760797342193,0.8441755083996464,0.8277153558052435,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.05,0.0,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.0}"
1,sweep_drweibo_resgcn_stateaux_compact_seed0_t0001_ledge0p05_lnode0p05_lsep0p005,0,0.872093023255814,0.8711925287356321,0.8644366197183099,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.05,0.005,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.005}"
2,sweep_drweibo_resgcn_stateaux_compact_seed0_t0002_ledge0p05_lnode0p05_lsep0p01,0,0.8488372093023255,0.84565649867374,0.8286252354048964,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.05,0.01,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.01}"
3,sweep_drweibo_resgcn_stateaux_compact_seed0_t0003_ledge0p05_lnode0p05_lsep0p02,0,0.8529900332225914,0.8533101237842616,0.8496176720475785,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.05,0.02,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.02}"
4,sweep_drweibo_resgcn_stateaux_compact_seed0_t0004_ledge0p1_lnode0p05_lsep0p0,0,0.8546511627906976,0.8547911140583554,0.8505550811272417,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.1,0.0,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.0}"
5,sweep_drweibo_resgcn_stateaux_compact_seed0_t0005_ledge0p1_lnode0p05_lsep0p005,0,0.829734219269103,0.8261328470380196,0.8045757864632984,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.1,0.005,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.005}"
6,sweep_drweibo_resgcn_stateaux_compact_seed0_t0006_ledge0p1_lnode0p05_lsep0p01,0,0.840531561461794,0.8406830238726791,0.8361774744027304,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.1,0.01,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.01}"
7,sweep_drweibo_resgcn_stateaux_compact_seed0_t0007_ledge0p1_lnode0p05_lsep0p02,0,0.8679401993355482,0.8684018567639258,0.8653683319220999,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.1,0.02,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.02}"
8,sweep_drweibo_resgcn_stateaux_compact_seed0_t0008_ledge0p2_lnode0p05_lsep0p0,0,0.8571428571428571,0.8564047303271441,0.8493870402802102,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.2,0.0,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.2, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.0}"
9,sweep_drweibo_resgcn_stateaux_compact_seed0_t0009_ledge0p2_lnode0p05_lsep0p005,0,0.856312292358804,0.855299513704686,0.8473080317740512,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.2,0.005,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.2, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.005}"
10,sweep_drweibo_resgcn_stateaux_compact_seed0_t0010_ledge0p2_lnode0p05_lsep0p01,0,0.8480066445182725,0.8485632183908047,0.8455696202531645,0.0005,0.0001,0.3,128,128,3,1.0,False,0.05,0.2,0.01,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.2, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.01}"
