trial_index,result_name,seed,acc,auc,f1,lr,weight_decay,dropout,batch_size,hidden_dim,n_layers_conv,state_aux_temp,state_aux_detach_route,lambda_node_state_aux,lambda_edge_same_aux,lambda_same_diff_sep,same_path_blend,diff_path_blend,same_diff_gate_blend,same_dulreg_blend,overrides
0,sweep_pheme_bigcn_stateaux_compact_seed0_t0000_ledge0p05_lnode0p05_lsep0p0,0,0.818815331010453,0.7869830241856197,0.7291666666666666,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.05,0.0,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.0}"
1,sweep_pheme_bigcn_stateaux_compact_seed0_t0001_ledge0p05_lnode0p05_lsep0p005,0,0.8301393728222997,0.8112243560332961,0.7607361963190185,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.05,0.005,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.005}"
2,sweep_pheme_bigcn_stateaux_compact_seed0_t0002_ledge0p05_lnode0p05_lsep0p01,0,0.8266550522648084,0.8146195189093531,0.763938315539739,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.05,0.01,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.01}"
3,sweep_pheme_bigcn_stateaux_compact_seed0_t0003_ledge0p05_lnode0p05_lsep0p02,0,0.8214285714285714,0.82329094841712,0.7719688542825361,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.05,0.02,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.02}"
4,sweep_pheme_bigcn_stateaux_compact_seed0_t0004_ledge0p1_lnode0p05_lsep0p0,0,0.8153310104529616,0.7873107426099495,0.7295918367346939,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.1,0.0,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.0}"
5,sweep_pheme_bigcn_stateaux_compact_seed0_t0005_ledge0p1_lnode0p05_lsep0p005,0,0.8344947735191638,0.8064691616962707,0.7557840616966581,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.1,0.005,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.005}"
6,sweep_pheme_bigcn_stateaux_compact_seed0_t0006_ledge0p1_lnode0p05_lsep0p01,0,0.823170731707317,0.8205708854951825,0.7695800227014756,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.1,0.01,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.01}"
7,sweep_pheme_bigcn_stateaux_compact_seed0_t0007_ledge0p1_lnode0p05_lsep0p02,0,0.823170731707317,0.7990987743330931,0.7452948557089084,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.1,0.02,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.1, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.02}"
8,sweep_pheme_bigcn_stateaux_compact_seed0_t0008_ledge0p2_lnode0p05_lsep0p0,0,0.8336236933797909,0.8149865635446024,0.7656441717791411,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.2,0.0,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.2, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.0}"
9,sweep_pheme_bigcn_stateaux_compact_seed0_t0009_ledge0p2_lnode0p05_lsep0p005,0,0.8292682926829268,0.834567739398309,0.7846153846153846,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.2,0.005,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.2, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.005}"
10,sweep_pheme_bigcn_stateaux_compact_seed0_t0010_ledge0p2_lnode0p05_lsep0p01,0,0.8257839721254355,0.7985973651438684,0.7448979591836735,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.2,0.01,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.2, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.01}"
11,sweep_pheme_bigcn_stateaux_compact_seed0_t0011_ledge0p2_lnode0p05_lsep0p02,0,0.8222996515679443,0.8111948613751065,0.7594339622641509,0.0005,0.0001,0.1,128,64,3,1.0,False,0.05,0.2,0.02,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.2, ""lambda_node_state_aux"": 0.05, ""lambda_same_diff_sep"": 0.02}"
12,sweep_pheme_bigcn_stateaux_compact_seed0_t0012_ledge0p05_lnode0p1_lsep0p0,0,0.813588850174216,0.7798059906927968,0.7191601049868767,0.0005,0.0001,0.1,128,64,3,1.0,False,0.1,0.05,0.0,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.1, ""lambda_same_diff_sep"": 0.0}"
13,sweep_pheme_bigcn_stateaux_compact_seed0_t0013_ledge0p05_lnode0p1_lsep0p005,0,0.8266550522648084,0.8258668152323523,0.7756482525366404,0.0005,0.0001,0.1,128,64,3,1.0,False,0.1,0.05,0.005,1.0,1.0,1.0,1.0,"{""lambda_edge_same_aux"": 0.05, ""lambda_node_state_aux"": 0.1, ""lambda_same_diff_sep"": 0.005}"
