trial_index,result_name,seed,selection_metric,acc,auc,f1,dataset,base_model,result_group,lr,weight_decay,dropout,batch_size,hidden_dim,n_layers_conv,global_pool,max_hop,classification_fusion_mode,classification_fusion_hidden_dim,use_uncertainty_sampling,use_semantic_tree_transformer,use_vertical_path_attention,use_uncertainty_sampling,relation_hidden_dim,relation_temperature,stance_route_temperature,stance_route_hard,lambda_edge_relation_aux,lambda_edge_relation_warmup,lambda_view_mi_aux,uncertainty_sample_temperature,uncertainty_keep_floor,uncertainty_sampling_warmup_epochs,use_degree_importance,degree_importance_strength,semantic_change_hidden_dim,use_node_keep_in_change_pool,use_semantic_tree_transformer,semantic_tree_transformer_layers,semantic_tree_transformer_heads,semantic_tree_transformer_ffn_dim,semantic_tree_transformer_dropout,semantic_tree_transformer_max_depth,semantic_tree_depth_dim,semantic_tree_transformer_pool,vertical_path_attention_heads,vertical_path_attention_uncertainty_scale,vertical_path_attention_residual_gate,vertical_path_attention_dropout,classification_fusion_hidden_dim,dropout,lr,weight_decay,n_layers_conv,overrides
0,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0000_lmi0p0_stdrop0p2_stlayers1_stdepth40,0,val_loss,0.9453376205787781,0.9448925843192411,0.947584789311408,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.0,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.2,40,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.0, ""semantic_tree_transformer_dropout"": 0.2, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 40}"
1,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0001_lmi0p01_stdrop0p2_stlayers1_stdepth40,0,val_loss,0.9431939978563773,0.9435412702352389,0.9428263214670982,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.01,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.2,40,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.01, ""semantic_tree_transformer_dropout"": 0.2, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 40}"
2,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0002_lmi0p02_stdrop0p2_stlayers1_stdepth40,0,val_loss,0.9517684887459807,0.9519111442045174,0.952076677316294,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.02,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.2,40,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.02, ""semantic_tree_transformer_dropout"": 0.2, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 40}"
3,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0003_lmi0p0_stdrop0p2_stlayers1_stdepth72,0,val_loss,0.9517684887459807,0.9514630043297208,0.9533678756476683,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.0,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.2,72,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.0, ""semantic_tree_transformer_dropout"": 0.2, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 72}"
4,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0004_lmi0p01_stdrop0p2_stlayers1_stdepth72,0,val_loss,0.947481243301179,0.9476227903256943,0.9478168264110756,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.01,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.2,72,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.01, ""semantic_tree_transformer_dropout"": 0.2, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 72}"
5,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0005_lmi0p02_stdrop0p2_stlayers1_stdepth72,0,val_loss,0.9485530546623794,0.9484363365599404,0.949685534591195,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.02,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.2,72,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.02, ""semantic_tree_transformer_dropout"": 0.2, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 72}"
6,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0006_lmi0p0_stdrop0p3_stlayers1_stdepth40,0,val_loss,0.9603429796355841,0.9603844350679795,0.9608465608465608,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.0,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.3,40,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.0, ""semantic_tree_transformer_dropout"": 0.3, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 40}"
7,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0007_lmi0p01_stdrop0p3_stlayers1_stdepth40,0,val_loss,0.9421221864951769,0.9424174733184414,0.9419354838709677,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.01,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.3,40,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.01, ""semantic_tree_transformer_dropout"": 0.3, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 40}"
8,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0008_lmi0p02_stdrop0p3_stlayers1_stdepth40,0,val_loss,0.9496248660235799,0.9494567165825541,0.9508881922675027,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.02,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.3,40,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.02, ""semantic_tree_transformer_dropout"": 0.3, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 40}"
9,sweep_weibo_resgcn_change_semantic_tree_semantic_tree_core_seed0_t0009_lmi0p0_stdrop0p3_stlayers1_stdepth72,0,val_loss,0.9496248660235799,0.9493877719864319,0.951092611862643,Weibo,ResGCN_UncertaintySemanticChange,sweep_weibo_resgcn_change_semantic_tree,0.0005,1e-05,0.3,128,128,2,mean,72,change_semantic_tree,256,False,True,False,False,128,1.0,0.5,True,0.1,0.5,0.0,0.5,0.1,5,True,1.0,128,False,True,1,4,256,0.3,72,128,mean,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""lambda_view_mi_aux"": 0.0, ""semantic_tree_transformer_dropout"": 0.3, ""semantic_tree_transformer_layers"": 1, ""semantic_tree_transformer_max_depth"": 72}"
